size,variant,implementation_mode,lambda_mem,seed,trial_index,n_cycles,correct_residence_fraction,correct_remaining_cycles_after_hit,correct_cycles_after_hit,correct_escape_probability,correct_transition_opportunities,correct_escape_count,correct_return_probability,correct_return_count,correct_mean_return_time,correct_first_residence_time,correct_first_residence_censored,relaxed_basin_residence_fraction,relaxed_basin_escape_probability,late_channel_alignment,late_channel_alignment_gap_to_transmitted,late_hard_channel_disagreement_rate,mean_state_BER,late_state_BER,mean_syndrome_weight_fraction,late_syndrome_weight_fraction,mean_bit_flip_rate,late_bit_flip_rate,mean_backflip_rate,late_backflip_rate
N192_M96,pSA,pSA,0.0,20300936,0,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3159376486535582,0.3925761162798305,0.3129437934027778,0.32631646050347224,0.3253765190972222,0.43392632378472223,0.43393880208333335,0.1966891818576389,0.19635308159722223,0.14599108853403728,0.1455250527561892
N192_M96,pSA,pSA,0.0,20300936,1,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3408969117898903,0.39321091056303914,0.30612738715277776,0.31802056206597223,0.3150141059027778,0.4291314019097222,0.42684678819444444,0.1918600802951389,0.18964735243055555,0.1406716990798305,0.13842298358225033
N192_M96,pSA,pSA,0.0,20300936,2,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.29019022426035423,0.3420126694541444,0.3278179253472222,0.3495632595486111,0.34690863715277775,0.43870008680555556,0.4375368923611111,0.20182047526041666,0.20046549479166667,0.15515162636294824,0.15348064462535305
N192_M96,pSA,pSA,0.0,20300936,3,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3161267135929531,0.3725844007796579,0.31607421875,0.3310598415798611,0.33039713541666665,0.4336702473958333,0.4343923611111111,0.19649820963541667,0.19663628472222222,0.1468812346920569,0.1468248052166924
N192_M96,pSA,pSA,0.0,20300936,4,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3531829252617117,0.3960735497418734,0.29804361979166666,0.3131608072916667,0.3100075954861111,0.42721571180555556,0.42586588541666665,0.18945719401041666,0.18807291666666667,0.13792719401173056,0.1362839345613177
N192_M96,pSA,pSA,0.0,20300936,5,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.33301691460337546,0.35182168227449906,0.3075640190972222,0.33104573567708334,0.329541015625,0.43210015190972223,0.4327712673611111,0.19427191840277777,0.19443467881944446,0.14521546360023374,0.1450040459621298
N192_M96,pSA,pSA,0.0,20300936,6,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.29828152394767365,0.3409191063180719,0.32366102430555554,0.3469422743055556,0.34600260416666667,0.4377398003472222,0.4366362847222222,0.20043565538194444,0.19962673611111112,0.15346944675435367,0.1526238946128449
N192_M96,pSA,pSA,0.0,20300936,7,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3137541872422036,0.3887596994336674,0.3161263020833333,0.32978190104166666,0.3289973958333333,0.43484700520833336,0.4339236111111111,0.19737386067708335,0.19679361979166668,0.1472547033232379,0.14664661508234894
N192_M96,pSA,pSA,0.0,20300936,8,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3457339259137845,0.38068886937873636,0.30301215277777777,0.31986518012152776,0.3171072048611111,0.42913899739583333,0.4266796875,0.19109537760416667,0.18894856770833332,0.14049291772274325,0.13834366404863407
N192_M96,pSA,pSA,0.0,20300936,9,19200,0.0,19200.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,1.0,0.3195800766043472,0.3668698260684513,0.3135904947916667,0.3324400499131944,0.330419921875,0.4332644314236111,0.4313780381944444,0.1961181640625,0.19410698784722222,0.1469004080939376,0.14494392947429832
