size,anchor,variant,implementation_mode,lambda_mem,seed,EbNo_dB,BER,FER,syndrome_violation_rate,avg_syndrome_weight,BP_BER,BP_FER,n_trials,n_bits_total
N96_M48,lambda,additive,lambda_pSA,0.9,20308958,2.5,0.011333333333333334,0.168,0.048,0.544,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20308958,3.0,0.00925,0.168,0.016,0.2,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20316980,2.0,0.0275,0.284,0.128,1.456,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20316980,2.5,0.017666666666666667,0.196,0.072,0.744,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.9,20316980,3.0,0.007541666666666667,0.12,0.036,0.3,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,2.0,0.028166666666666666,0.272,0.108,1.352,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,2.5,0.013708333333333333,0.16,0.044,0.38,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20260826,3.0,0.004375,0.092,0.016,0.092,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,2.0,0.027875,0.288,0.148,1.668,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,2.5,0.017083333333333332,0.224,0.08,0.856,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20268848,3.0,0.006083333333333333,0.124,0.02,0.176,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20276870,2.0,0.025875,0.268,0.116,1.228,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20276870,2.5,0.013083333333333334,0.172,0.052,0.44,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20276870,3.0,0.007458333333333333,0.132,0.028,0.26,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,2.0,0.024541666666666666,0.272,0.104,1.22,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,2.5,0.016416666666666666,0.188,0.068,0.712,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20284892,3.0,0.007416666666666667,0.132,0.028,0.2,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,2.0,0.03141666666666667,0.268,0.148,1.792,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,2.5,0.013458333333333333,0.176,0.06,0.66,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20292914,3.0,0.005458333333333333,0.14,0.016,0.092,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,2.0,0.020833333333333332,0.248,0.104,1.2,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,2.5,0.013166666666666667,0.176,0.064,0.624,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20300936,3.0,0.00475,0.108,0.008,0.072,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,2.0,0.028166666666666666,0.244,0.128,1.568,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,2.5,0.01075,0.168,0.048,0.544,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20308958,3.0,0.008416666666666666,0.132,0.024,0.28,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,2.0,0.02425,0.264,0.132,1.576,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,2.5,0.017083333333333332,0.184,0.072,0.76,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA,0.95,20316980,3.0,0.008333333333333333,0.136,0.016,0.144,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20260826,2.0,0.027125,0.28,0.132,1.572,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20260826,2.5,0.010458333333333333,0.204,0.048,0.484,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20260826,3.0,0.006875,0.116,0.02,0.132,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20268848,2.0,0.0285,0.288,0.152,1.824,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20268848,2.5,0.016791666666666667,0.2,0.06,0.748,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20268848,3.0,0.006958333333333334,0.152,0.024,0.204,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20276870,2.0,0.019291666666666665,0.22,0.092,1.052,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20276870,2.5,0.012541666666666666,0.212,0.06,0.444,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20276870,3.0,0.007583333333333333,0.164,0.032,0.296,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20284892,2.0,0.029541666666666667,0.288,0.148,1.748,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20284892,2.5,0.013916666666666667,0.172,0.036,0.368,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20284892,3.0,0.008458333333333333,0.156,0.044,0.324,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20292914,2.0,0.030166666666666668,0.292,0.132,1.6,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20292914,2.5,0.015583333333333333,0.184,0.048,0.52,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20292914,3.0,0.005208333333333333,0.148,0.02,0.14,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20300936,2.0,0.027458333333333335,0.28,0.08,1.02,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20300936,2.5,0.012291666666666666,0.16,0.056,0.404,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20300936,3.0,0.0031666666666666666,0.096,0.008,0.056,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20308958,2.0,0.023208333333333334,0.26,0.132,1.58,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20308958,2.5,0.014708333333333334,0.2,0.04,0.444,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20308958,3.0,0.008458333333333333,0.136,0.028,0.316,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20316980,2.0,0.0265,0.256,0.108,1.176,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20316980,2.5,0.016,0.208,0.076,0.784,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.0,20316980,3.0,0.007625,0.14,0.028,0.244,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20260826,2.0,0.029375,0.272,0.16,1.868,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20260826,2.5,0.007833333333333333,0.144,0.036,0.376,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20260826,3.0,0.0037083333333333334,0.092,0.016,0.124,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20268848,2.0,0.028916666666666667,0.288,0.144,1.528,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20268848,2.5,0.014583333333333334,0.208,0.076,0.888,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20268848,3.0,0.006666666666666667,0.124,0.024,0.176,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20276870,2.0,0.021666666666666667,0.26,0.104,1.2,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20276870,2.5,0.015041666666666667,0.216,0.064,0.444,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20276870,3.0,0.007291666666666667,0.18,0.028,0.212,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20284892,2.0,0.029458333333333333,0.276,0.152,1.652,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20284892,2.5,0.015166666666666667,0.18,0.076,0.768,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20284892,3.0,0.008791666666666666,0.18,0.032,0.26,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20292914,2.0,0.027416666666666666,0.268,0.144,1.552,0.025252083333333335,0.26,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20292914,2.5,0.013083333333333334,0.176,0.072,0.736,0.01286875,0.148,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20292914,3.0,0.006291666666666667,0.144,0.02,0.164,0.005091666666666667,0.0716,250,24000
N96_M48,lambda,additive,lambda_pSA_extended,1.1,20300936,2.0,0.025083333333333332,0.252,0.096,1.144,0.025252083333333335,0.26,250,24000
