stage,alpha,kw,rho,formula_index,formula_sha256,is_satisfiable,baseline_mean_selected_unsat_rate,treatment_mean_selected_unsat_rate,difference_treatment_minus_baseline_selected_rate,difference_treatment_minus_baseline_final_rate,difference_treatment_minus_baseline_success,difference_treatment_minus_baseline_convergence_cycle,difference_treatment_minus_baseline_objective
A,1.2,4.0,0.08,1,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,0.003933333333333333,0.0041333333333333335,0.00020000000000000052,0.0010666666666666654,,8.870000000000005,0.00020295666666666698
A,1.2,4.0,0.08,2,833410b8e4a70b136dda7b89f3f0aac79596e6f8fdb43f851ddeb4fce8d5ee6f,False,0.003683333333333333,0.0038666666666666663,0.0001833333333333331,0.000966666666666666,,137.86,0.00022928666666666587
A,1.2,4.0,0.08,3,ff45cf07b0db6431caf1ac127754bb58f3cd66d97b63a98b11d73e129bfdc154,False,0.0033499999999999997,0.0035333333333333336,0.00018333333333333396,0.0007833333333333338,,48.04000000000008,0.0006160133333333335
A,1.2,4.0,0.08,4,1136a3e30b479506765af8d183d1e027ee45abfa48525e78d8cbcc4b7c7337d5,False,0.0036333333333333335,0.00375,0.0001166666666666664,0.0009166666666666663,,86.04000000000008,0.0001453466666666665
A,1.2,4.0,0.08,5,14543b9f6b7ade3455cd172c107f42b6368fbcdbbd1c821c6a6741731dc999bb,True,0.00115,0.0012833333333333334,0.0001333333333333334,0.002066666666666667,-0.07,-29.840000000000032,0.007123386666666669
A,1.2,4.0,0.08,6,46636fa878f018a3a4254af5ba92a0a1ab3155960a91c43744de2d8c78df03f5,True,0.0005333333333333334,0.0006666666666666668,0.0001333333333333334,0.0012000000000000001,-0.08000000000000007,-86.37000000000012,0.008104543333333346
A,1.2,4.0,0.08,7,68250a298d025f889db3dcc95f417ef7bcef2a6a7e93deec39af39648ec359b0,False,0.006333333333333333,0.00635,1.6666666666666566e-05,0.00016666666666666566,,55.710000000000036,3.5236666666667305e-05
A,1.2,4.0,0.08,8,049ae08fa4cba4b924929611ad2e498a9ee291c356920097338b16d4526a6dd9,True,0.0007166666666666667,0.0008833333333333334,0.00016666666666666674,0.0010833333333333337,-0.06999999999999995,66.75,0.007188916666666656
A,1.2,4.0,0.08,9,d5f82f16d0b7213e8e2f02ed43ca07d06f3892cbff83b3d81592596852252bbf,False,0.0024333333333333334,0.002333333333333333,-0.00010000000000000026,0.0003666666666666679,,176.31000000000017,-4.123000000000017e-05
A,1.2,4.0,0.08,10,d344cd79ba6f51e737dbe5ff4b556389b928e7085bd5ee9ae9ddc3334372a7f3,False,0.005216666666666666,0.005233333333333334,1.6666666666667433e-05,0.0010499999999999989,,249.45000000000005,9.981666666666715e-05
