stage,alpha,formula_index,formula_generation_seed,formula_sha256,is_satisfiable,kw,rho,trial_index,trial_seed,n_cycles,selected_unsat,best_unsat,final_unsat,selected_unsat_rate,best_unsat_rate,final_unsat_rate,success,convergence_cycle,first_hit_cycle,selected_energy,best_energy
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,4,137001004,3000,2,2,9,0.0033333333333333335,0.0033333333333333335,0.015,0,1937,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,5,137001005,3000,2,2,8,0.0033333333333333335,0.0033333333333333335,0.013333333333333334,0,1529,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,6,137001006,3000,3,3,6,0.005,0.005,0.01,0,450,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,7,137001007,3000,3,3,7,0.005,0.005,0.011666666666666667,0,857,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,8,137001008,3000,2,2,9,0.0033333333333333335,0.0033333333333333335,0.015,0,1305,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,9,137001009,3000,3,3,8,0.005,0.005,0.013333333333333334,0,676,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,10,137001010,3000,2,2,7,0.0033333333333333335,0.0033333333333333335,0.011666666666666667,0,222,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,11,137001011,3000,2,2,6,0.0033333333333333335,0.0033333333333333335,0.01,0,925,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,12,137001012,3000,3,3,9,0.005,0.005,0.015,0,570,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,13,137001013,3000,2,2,8,0.0033333333333333335,0.0033333333333333335,0.013333333333333334,0,786,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,14,137001014,3000,3,3,10,0.005,0.005,0.016666666666666666,0,2394,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,15,137001015,3000,3,3,12,0.005,0.005,0.02,0,46,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,16,137001016,3000,2,2,9,0.0033333333333333335,0.0033333333333333335,0.015,0,104,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,17,137001017,3000,3,3,6,0.005,0.005,0.01,0,357,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,18,137001018,3000,2,2,4,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0,855,,2.0,2.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,19,137001019,3000,3,3,8,0.005,0.005,0.013333333333333334,0,152,,3.0,3.0
A,1.2,1,3703,37714a28925a2687ce83e161ad3d7e5c5115cf093c9da52c36821dada33ae023,False,4.0,0.0,20,137001020,3000,2,2,8,0.0033333333333333335,0.0033333333333333335,0.013333333333333334,0,743,,2.0,2.0
